"No.","Time","Source","Destination","Protocol","Length","Info"
"39395","93.380083","132.72.140.46","132.72.81.121","DNS","133","Standard query response 0x65e2 A tripmaxtravel.com A 107.181.169.48 NS ns.09ns.com NS ns2.09ns.com"
"39420","93.476263","132.72.140.45","132.72.81.121","DNS","165","Standard query response 0x65e2 A tripmaxtravel.com A 107.181.169.48 NS ns2.09ns.com NS ns.09ns.com A 107.181.169.48 A 107.181.169.124"
"39521","94.162451","132.72.81.121","132.72.140.46","DNS","88","Standard query 0x1555 A global.invisaligngallery.com"
"39533","94.238167","132.72.140.46","132.72.81.121","DNS","304","Standard query response 0x1555 A global.invisaligngallery.com A 87.233.83.59 NS ns-549.awsdns-04.net NS ns-1368.awsdns-43.org NS ns-1917.awsdns-47.co.uk NS ns-77.awsdns-09.com A 205.251.192.77 A 205.251.194.37 A 205.251.197.88 A 205.251.199.125"
"39700","95.056351","132.72.81.121","132.72.140.46","DNS","79","Standard query 0xe295 A www.rugdoctor.co.uk"
"39713","95.132166","132.72.140.46","132.72.81.121","DNS","241","Standard query response 0xe295 A www.rugdoctor.co.uk A 5.134.10.159 NS ns1.mi-dns.net NS ns3.mi-dns.net NS ns2.mi-dns.net NS ns4.mi-dns.net A 208.94.148.4 A 208.80.124.4 A 208.80.126.4 A 208.80.125.4"
"39789","95.330779","132.72.81.121","132.72.140.46","DNS","80","Standard query 0x2414 A www.cmhpeugeot.co.za"
"39790","95.331250","132.72.140.46","132.72.81.121","DNS","185","Standard query response 0x2414 A www.cmhpeugeot.co.za A 129.232.251.214 NS ns1.dns-h.com NS ns2.host-h.net NS ns1.host-h.net A 129.232.248.30"
"39855","95.629987","132.72.81.121","132.72.140.46","DNS","81","Standard query 0xc6c5 A www.kpihealthcare.com"
"39866","95.709762","132.72.140.46","132.72.81.121","DNS","314","Standard query response 0xc6c5 A www.kpihealthcare.com A 54.193.18.2 A 13.57.88.49 NS ns-2022.awsdns-60.co.uk NS ns-1246.awsdns-27.org NS ns-608.awsdns-12.net NS ns-245.awsdns-30.com A 205.251.192.245 A 205.251.194.96 A 205.251.196.222 A 205.251.199.230"
"40215","97.615419","132.72.81.121","132.72.140.46","DNS","85","Standard query 0x9ef0 A horvath.genetics.ucla.edu"
"40229","97.708693","132.72.81.121","132.72.140.45","DNS","85","Standard query 0x9ef0 A horvath.genetics.ucla.edu"
"40294","98.014350","132.72.140.46","132.72.81.121","DNS","421","Standard query response 0x9ef0 A horvath.genetics.ucla.edu CNAME wtim8f5.x.incapdns.net A 45.60.47.150 NS ns4.incapdns.net NS ns5.incapdns.net NS ns1.incapdns.net NS ns2.incapdns.net NS ns3.incapdns.net NS ns6.incapdns.net A 198.143.61.1 A 198.143.61.2 A 198.143.61.3 A 198.143.61.4 A 198.143.61.5 A 198.143.61.6 A 198.143.61.7 A 198.143.61.8 A 198.143.61.9 A 198.143.61.10 A 198.143.61.0"
"40299","98.093376","132.72.140.45","132.72.81.121","DNS","533","Standard query response 0x9ef0 A horvath.genetics.ucla.edu CNAME wtim8f5.x.incapdns.net A 45.60.47.150 NS ns5.incapdns.net NS ns2.incapdns.net NS ns6.incapdns.net NS ns4.incapdns.net NS ns3.incapdns.net NS ns1.incapdns.net A 198.143.61.9 A 198.143.61.11 A 198.143.61.200 A 198.143.61.2 A 198.143.61.3 A 198.143.61.5 A 198.143.61.7 A 198.143.62.1 A 198.143.62.2 A 198.143.62.3 A 198.143.62.4 A 198.143.62.5 A 198.143.62.6 A 198.143.62.7 A 198.143.62.8 A 198.143.62.9 A 198.143.62.10 A 198.143.62.0"
"40900","100.989873","132.72.81.121","132.72.140.46","DNS","86","Standard query 0xd672 A www.homeloanexperts.com.au"
"40901","101.000926","132.72.81.121","132.72.140.46","DNS","75","Standard query 0x800a A ssl.gstatic.com"
"40902","101.001485","132.72.140.46","132.72.81.121","DNS","234","Standard query response 0x800a A ssl.gstatic.com A 216.58.208.99 NS ns1.google.com NS ns3.google.com NS ns4.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"40940","101.083183","132.72.81.121","132.72.140.45","DNS","86","Standard query 0xd672 A www.homeloanexperts.com.au"
"40941","101.125937","132.72.140.46","132.72.81.121","DNS","322","Standard query response 0xd672 A www.homeloanexperts.com.au A 13.238.49.211 A 3.106.109.197 NS ns-2006.awsdns-58.co.uk NS ns-1497.awsdns-59.org NS ns-315.awsdns-39.com NS ns-747.awsdns-29.net A 205.251.193.59 A 205.251.194.235 A 205.251.197.217 A 205.251.199.214"
"40966","101.220347","132.72.140.45","132.72.81.121","DNS","322","Standard query response 0xd672 A www.homeloanexperts.com.au A 13.238.49.211 A 3.106.109.197 NS ns-1497.awsdns-59.org NS ns-747.awsdns-29.net NS ns-2006.awsdns-58.co.uk NS ns-315.awsdns-39.com A 205.251.193.59 A 205.251.194.235 A 205.251.197.217 A 205.251.199.214"
"41385","103.765382","132.72.81.121","132.72.140.46","DNS","77","Standard query 0x8dac A blogs.cornell.edu"
"41390","103.841464","132.72.140.46","132.72.81.121","DNS","516","Standard query response 0x8dac A blogs.cornell.edu CNAME c1140.campuspress.com CNAME cloudflare-resolve-to.c1140.campuspress.com CNAME us-east-1.lb.campuspress.com CNAME virginia-db5.us-east-1.lb.campuspress.com CNAME produ-loadb-14qlqnvqs58to-caf651f80372dfb2.elb.us-east-1.amazonaws.com A 34.227.238.166 A 35.172.73.102 NS ns-1286.awsdns-32.org NS ns-281.awsdns-35.com NS ns-844.awsdns-41.net NS ns-1826.awsdns-36.co.uk A 205.251.193.25 A 205.251.195.76 A 205.251.197.6 A 205.251.199.34"
"41675","105.974103","132.72.81.121","132.72.140.46","DNS","83","Standard query 0x4700 A craftingagreenworld.com"
"41703","106.060509","132.72.140.46","132.72.81.121","DNS","187","Standard query response 0x4700 A craftingagreenworld.com A 34.250.200.167 NS dhole.ezoicns.com NS tiger.ezoicns.com NS robin.ezoicns.com NS mouse.ezoicns.com"
"42068","107.347536","132.72.81.121","132.72.140.46","DNS","83","Standard query 0x76cf A www.paprowinecellars.ca"
"42072","107.412822","132.72.140.46","132.72.81.121","DNS","203","Standard query response 0x76cf A www.paprowinecellars.ca A 104.27.139.184 A 104.27.138.184 NS aron.ns.cloudflare.com NS jonah.ns.cloudflare.com A 173.245.58.69 A 173.245.59.186"
"42434","108.940513","132.72.81.121","132.72.140.46","DNS","82","Standard query 0x5293 A www.viavisolutions.com"
"42448","109.034356","132.72.81.121","132.72.140.45","DNS","82","Standard query 0x5293 A www.viavisolutions.com"
"42480","109.238240","132.72.140.46","132.72.81.121","DNS","371","Standard query response 0x5293 A www.viavisolutions.com CNAME live-viavi.pantheonsite.io CNAME fe3.edge.pantheon.io A 23.185.0.3 NS ns-644.awsdns-16.net NS ns-1213.awsdns-23.org NS ns-233.awsdns-29.com NS ns-2013.awsdns-59.co.uk A 205.251.192.233 A 205.251.194.132 A 205.251.196.189 A 205.251.199.221"
"42493","109.329177","132.72.140.45","132.72.81.121","DNS","371","Standard query response 0x5293 A www.viavisolutions.com CNAME live-viavi.pantheonsite.io CNAME fe3.edge.pantheon.io A 23.185.0.3 NS ns-644.awsdns-16.net NS ns-233.awsdns-29.com NS ns-2013.awsdns-59.co.uk NS ns-1213.awsdns-23.org A 205.251.192.233 A 205.251.194.132 A 205.251.196.189 A 205.251.199.221"
"42574","109.744952","132.72.81.121","132.72.140.46","DNS","71","Standard query 0x1ecb A immense.net"
"42600","109.820287","132.72.140.46","132.72.81.121","DNS","207","Standard query response 0x1ecb A immense.net A 104.254.53.51 NS ns0.immense.net NS ns1.immense.net AAAA 2600:180a:1001::1 AAAA 2600:180b:2001::1 AAAA 2600:180c:3001::1"
"42613","109.830498","132.72.81.121","132.72.140.46","DNS","77","Standard query 0xc06d A www.nbcboston.com"
"42619","109.836220","132.72.140.46","132.72.81.121","DNS","313","Standard query response 0xc06d A www.nbcboston.com CNAME www.nbcboston.com.edgekey.net CNAME e1452.x.akamaiedge.net A 84.53.158.212 NS n1x.akamaiedge.net NS n3x.akamaiedge.net NS n2x.akamaiedge.net NS n7x.akamaiedge.net NS n0x.akamaiedge.net NS n6x.akamaiedge.net NS n4x.akamaiedge.net NS n5x.akamaiedge.net"
"42882","110.085687","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x902a A directorsclub.news"
"42920","110.179827","132.72.81.121","132.72.140.45","DNS","78","Standard query 0x902a A directorsclub.news"
"42939","110.237352","132.72.140.46","132.72.81.121","DNS","281","Standard query response 0x902a A directorsclub.news A 217.160.0.121 NS ns1053.ui-dns.org NS ns1036.ui-dns.de NS ns1106.ui-dns.biz NS ns1021.ui-dns.com A 217.160.82.21 A 217.160.80.36 A 217.160.83.53 A 217.160.81.106"
"42957","110.334034","132.72.140.45","132.72.81.121","DNS","309","Standard query response 0x902a A directorsclub.news A 217.160.0.121 NS ns1036.ui-dns.de NS ns1053.ui-dns.org NS ns1021.ui-dns.com NS ns1106.ui-dns.biz A 217.160.82.21 A 217.160.80.36 A 217.160.83.53 AAAA 2001:8d8:fe:53:0:d9a0:5335:100 A 217.160.81.106"
"43043","110.769678","132.72.81.121","132.72.140.46","DNS","74","Standard query 0xbc73 A www.wbbjtv.com"
"43044","110.776562","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x49d7 A pizzaperfect.co.za"
"43056","110.845274","132.72.140.46","132.72.81.121","DNS","379","Standard query response 0xbc73 A www.wbbjtv.com CNAME d2g2nlwch34oaz.cloudfront.net A 99.86.116.65 A 99.86.116.101 A 99.86.116.33 A 99.86.116.22 NS ns-1975.awsdns-54.co.uk NS ns-1462.awsdns-54.org NS ns-374.awsdns-46.com NS ns-724.awsdns-26.net A 205.251.193.118 A 205.251.194.212 A 205.251.197.182 A 205.251.199.183"
"43058","110.869801","132.72.81.121","132.72.140.45","DNS","78","Standard query 0x49d7 A pizzaperfect.co.za"
"43069","110.939561","132.72.81.121","132.72.140.46","DNS","77","Standard query 0xfacc A theboatgalley.com"
"43090","111.002613","132.72.140.46","132.72.81.121","DNS","177","Standard query response 0xfacc A theboatgalley.com A 35.226.49.116 NS dina.ns.cloudflare.com NS cody.ns.cloudflare.com A 173.245.59.107 A 173.245.58.107"
"43092","111.025792","132.72.140.46","132.72.81.121","DNS","183","Standard query response 0x49d7 A pizzaperfect.co.za A 129.232.249.162 NS ns2.host-h.net NS ns1.host-h.net NS ns1.dns-h.com A 129.232.248.30"
"43121","111.118072","132.72.140.45","132.72.81.121","DNS","215","Standard query response 0x49d7 A pizzaperfect.co.za A 129.232.249.162 NS ns1.dns-h.com NS ns2.host-h.net NS ns1.host-h.net A 129.232.248.30 A 129.232.248.30 A 129.232.248.40"
"43291","111.832710","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x86a3 A crhirt.blogspot.com"
"43293","111.846797","132.72.81.121","132.72.140.46","DNS","87","Standard query 0x2d92 A www.westmerciascouts.org.uk"
"43297","111.910901","132.72.140.46","132.72.81.121","DNS","207","Standard query response 0x2d92 A www.westmerciascouts.org.uk A 104.24.117.87 A 104.24.116.87 NS maya.ns.cloudflare.com NS david.ns.cloudflare.com A 173.245.58.194 A 173.245.59.152"
"43299","111.926074","132.72.81.121","132.72.140.45","DNS","79","Standard query 0x86a3 A crhirt.blogspot.com"
"43319","111.974453","132.72.140.46","132.72.81.121","DNS","281","Standard query response 0x86a3 A crhirt.blogspot.com CNAME blogspot.l.googleusercontent.com A 172.217.168.193 NS ns4.google.com NS ns2.google.com NS ns1.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"43321","111.999060","132.72.140.45","132.72.81.121","DNS","393","Standard query response 0x86a3 A crhirt.blogspot.com CNAME blogspot.l.googleusercontent.com A 172.217.17.65 NS ns3.google.com NS ns2.google.com NS ns4.google.com NS ns1.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"43550","112.769678","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x767a A www.nbcchicago.com"
"43551","112.770298","132.72.140.46","132.72.81.121","DNS","315","Standard query response 0x767a A www.nbcchicago.com CNAME www.nbcchicago.com.edgekey.net CNAME e1452.x.akamaiedge.net A 84.53.158.212 NS n1x.akamaiedge.net NS n5x.akamaiedge.net NS n7x.akamaiedge.net NS n2x.akamaiedge.net NS n0x.akamaiedge.net NS n4x.akamaiedge.net NS n3x.akamaiedge.net NS n6x.akamaiedge.net"
"43823","113.575965","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x1ae5 A www.speedguide.net"
"43835","113.668849","132.72.81.121","132.72.140.45","DNS","78","Standard query 0x1ae5 A www.speedguide.net"
"43858","113.714421","132.72.140.46","132.72.81.121","DNS","153","Standard query response 0x1ae5 A www.speedguide.net A 68.67.73.20 NS dns1.registrar-servers.com NS dns2.registrar-servers.com"
"43872","113.815197","132.72.140.45","132.72.81.121","DNS","185","Standard query response 0x1ae5 A www.speedguide.net A 68.67.73.20 NS dns2.registrar-servers.com NS dns1.registrar-servers.com A 156.154.132.200 A 156.154.133.200"
"43880","113.897396","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x3288 A www.skinnymoose.com"
"43893","113.990179","132.72.81.121","132.72.140.45","DNS","79","Standard query 0x3288 A www.skinnymoose.com"
"43894","114.002336","132.72.140.46","132.72.81.121","DNS","318","Standard query response 0x3288 A www.skinnymoose.com CNAME web-edge-ssl-6.vscope.cloud A 35.227.208.64 NS ns-cloud-d2.googledomains.com NS ns-cloud-d3.googledomains.com NS ns-cloud-d4.googledomains.com NS ns-cloud-d1.googledomains.com A 216.239.32.109 A 216.239.34.109 A 216.239.36.109 A 216.239.38.109"
"43910","114.062762","132.72.140.45","132.72.81.121","DNS","430","Standard query response 0x3288 A www.skinnymoose.com CNAME web-edge-ssl-6.vscope.cloud A 35.227.208.64 NS ns-cloud-d2.googledomains.com NS ns-cloud-d3.googledomains.com NS ns-cloud-d1.googledomains.com NS ns-cloud-d4.googledomains.com A 216.239.32.109 AAAA 2001:4860:4802:32::6d A 216.239.34.109 AAAA 2001:4860:4802:34::6d A 216.239.36.109 AAAA 2001:4860:4802:36::6d A 216.239.38.109 AAAA 2001:4860:4802:38::6d"
"43978","114.488186","132.72.81.121","132.72.140.46","DNS","82","Standard query 0x5571 A www.dedicatedaudio.com"
"43986","114.584585","132.72.81.121","132.72.140.45","DNS","82","Standard query 0x5571 A www.dedicatedaudio.com"
"43995","114.624743","132.72.140.46","132.72.81.121","DNS","423","Standard query response 0x5571 A www.dedicatedaudio.com CNAME shops.myshopify.com A 23.227.38.64 NS ns2.dnsimple.com NS ns1.p19.dynect.net NS ns3.p19.dynect.net NS ns3.dnsimple.com NS ns4.p19.dynect.net NS ns2.p19.dynect.net NS ns1.dnsimple.com NS ns4.dnsimple.com A 208.78.70.19 A 162.159.24.4 A 204.13.250.19 A 162.159.25.4 A 208.78.71.19 A 162.159.26.4 A 204.13.251.19 A 162.159.27.4"
"44017","114.730359","132.72.140.45","132.72.81.121","DNS","535","Standard query response 0x5571 A www.dedicatedaudio.com CNAME shops.myshopify.com A 23.227.38.64 NS ns1.p19.dynect.net NS ns3.p19.dynect.net NS ns4.dnsimple.com NS ns4.p19.dynect.net NS ns3.dnsimple.com NS ns2.dnsimple.com NS ns2.p19.dynect.net NS ns1.dnsimple.com A 208.78.70.19 A 162.159.24.4 AAAA 2400:cb00:2049:1::a29f:1804 A 204.13.250.19 A 162.159.25.4 AAAA 2400:cb00:2049:1::a29f:1904 A 208.78.71.19 A 162.159.26.4 AAAA 2400:cb00:2049:1::a29f:1a04 A 204.13.251.19 A 162.159.27.4 AAAA 2400:cb00:2049:1::a29f:1b04"
"44142","115.236850","132.72.81.121","132.72.140.46","DNS","71","Standard query 0xe51f A ekhwan.info"
"44153","115.329398","132.72.81.121","132.72.140.45","DNS","71","Standard query 0xe51f A ekhwan.info"
"44168","115.361918","132.72.140.46","132.72.81.121","DNS","190","Standard query response 0xe51f A ekhwan.info A 104.27.144.6 A 104.27.145.6 NS dora.ns.cloudflare.com NS noel.ns.cloudflare.com A 173.245.58.108 A 173.245.59.216"
"44206","115.615071","132.72.140.45","132.72.81.121","DNS","246","Standard query response 0xe51f A ekhwan.info A 104.27.145.6 A 104.27.144.6 NS noel.ns.cloudflare.com NS dora.ns.cloudflare.com A 173.245.58.108 AAAA 2606:4700:50::adf5:3a6c A 173.245.59.216 AAAA 2606:4700:58::adf5:3bd8"
"44337","115.961436","132.72.81.121","132.72.140.46","DNS","80","Standard query 0xd81f A www.audionirvana.org"
"44341","116.054512","132.72.81.121","132.72.140.45","DNS","80","Standard query 0xd81f A www.audionirvana.org"
"44349","116.161063","132.72.140.46","132.72.81.121","DNS","293","Standard query response 0xd81f A www.audionirvana.org CNAME fe0bb0660608-002370.vbulletin.net A 104.16.199.6 A 104.16.197.6 A 104.16.200.6 A 104.16.198.6 A 104.16.196.6 NS mary.ns.cloudflare.com NS ian.ns.cloudflare.com A 173.245.59.118 A 173.245.58.134"
"44372","116.340044","132.72.140.45","132.72.81.121","DNS","349","Standard query response 0xd81f A www.audionirvana.org CNAME fe0bb0660608-002370.vbulletin.net A 104.16.197.6 A 104.16.200.6 A 104.16.199.6 A 104.16.198.6 A 104.16.196.6 NS mary.ns.cloudflare.com NS ian.ns.cloudflare.com A 173.245.59.118 AAAA 2606:4700:58::adf5:3b76 A 173.245.58.134 AAAA 2606:4700:50::adf5:3a86"
"44420","116.785103","132.72.81.121","132.72.140.46","DNS","73","Standard query 0xe7ba A yesandyes.org"
"44421","116.789481","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x710d A genfiles.com"
"44426","116.859646","132.72.140.46","132.72.81.121","DNS","176","Standard query response 0xe7ba A yesandyes.org A 50.62.88.87 NS ns50.domaincontrol.com NS ns49.domaincontrol.com A 97.74.104.25 A 173.201.72.25"
"44429","116.882455","132.72.81.121","132.72.140.45","DNS","72","Standard query 0x710d A genfiles.com"
"44434","116.924272","132.72.140.46","132.72.81.121","DNS","156","Standard query response 0x710d A genfiles.com A 192.124.249.160 NS ns22.domaincontrol.com NS ns21.domaincontrol.com A 97.74.100.11"
"44451","117.027447","132.72.140.45","132.72.81.121","DNS","228","Standard query response 0x710d A genfiles.com A 192.124.249.160 NS ns22.domaincontrol.com NS ns21.domaincontrol.com A 97.74.100.11 AAAA 2603:5:2141::b A 173.201.68.11 AAAA 2603:5:2241::b"
"44496","117.243070","132.72.81.121","132.72.140.46","DNS","82","Standard query 0x7a4a A norfolk.craigslist.org"
"44514","117.337071","132.72.81.121","132.72.140.45","DNS","82","Standard query 0x7a4a A norfolk.craigslist.org"
"44599","117.818208","132.72.140.46","132.72.81.121","DNS","193","Standard query response 0x7a4a A norfolk.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.18 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"44625","117.913248","132.72.140.45","132.72.81.121","DNS","193","Standard query response 0x7a4a A norfolk.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.2 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"44728","118.446193","132.72.81.121","132.72.140.46","DNS","81","Standard query 0xd3b1 A echoesfromcatawba.com"
"44765","118.539925","132.72.81.121","132.72.140.45","DNS","81","Standard query 0xd3b1 A echoesfromcatawba.com"
"44767","118.571223","132.72.140.46","132.72.81.121","DNS","225","Standard query response 0xd3b1 A echoesfromcatawba.com A 192.0.78.208 A 192.0.78.188 NS ns1.wordpress.com NS ns2.wordpress.com NS ns3.wordpress.com A 198.181.116.9 A 198.181.117.9 A 192.0.74.9"
"44779","118.672874","132.72.140.45","132.72.81.121","DNS","309","Standard query response 0xd3b1 A echoesfromcatawba.com A 192.0.78.188 A 192.0.78.208 NS ns2.wordpress.com NS ns1.wordpress.com NS ns3.wordpress.com A 198.181.116.9 AAAA 2a04:fa87:ffff::c6b5:7409 A 198.181.117.9 AAAA 2a04:fa87:ffff::c6b5:7509 A 192.0.74.9 AAAA 2620:115:c00f::c000:4a09"
"44881","119.409167","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x9780 A wordpress.com"
"44886","119.409979","132.72.140.46","132.72.81.121","DNS","241","Standard query response 0x9780 A wordpress.com A 192.0.78.17 A 192.0.78.9 NS ns1.wordpress.com NS ns4.wordpress.com NS ns2.wordpress.com NS ns3.wordpress.com A 198.181.116.9 A 198.181.117.9 A 192.0.74.9 A 192.0.75.9"
"44947","119.798795","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xb74d A smd.craigslist.org"
"44958","119.904518","132.72.81.121","132.72.140.45","DNS","78","Standard query 0xb74d A smd.craigslist.org"
"44993","120.010661","132.72.140.46","132.72.81.121","DNS","189","Standard query response 0xb74d A smd.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.18 NS gslb4.craigslist.org NS gslb3.craigslist.org A 208.82.238.210 A 208.82.237.210"
"44999","120.055025","132.72.140.45","132.72.81.121","DNS","189","Standard query response 0xb74d A smd.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.2 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"45106","120.636229","132.72.81.121","132.72.140.46","DNS","80","Standard query 0x0b5b A www.tweaking4all.com"
"45160","120.729515","132.72.81.121","132.72.140.45","DNS","80","Standard query 0x0b5b A www.tweaking4all.com"
"45216","121.324994","132.72.140.46","132.72.81.121","DNS","189","Standard query response 0x0b5b A www.tweaking4all.com CNAME tweaking4all.com A 69.16.233.227 NS ns2.luijten.net NS ns1.luijten.net A 69.16.233.55 A 69.16.233.56"
"45220","121.432311","132.72.140.45","132.72.81.121","DNS","189","Standard query response 0x0b5b A www.tweaking4all.com CNAME tweaking4all.com A 69.16.233.227 NS ns2.luijten.net NS ns1.luijten.net A 69.16.233.55 A 69.16.233.56"
"45246","121.764218","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xf2b4 A www.redmondpie.com"
"45247","121.766222","132.72.81.121","132.72.140.46","DNS","80","Standard query 0x1d51 A www.southglos.gov.uk"
"45253","121.838930","132.72.140.46","132.72.81.121","DNS","429","Standard query response 0x1d51 A www.southglos.gov.uk CNAME sgc-website.azurewebsites.net CNAME waws-prod-db3-075.vip.azurewebsites.windows.net CNAME waws-prod-db3-075.cloudapp.net A 52.178.190.191 NS ns2prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.info NS ns1prod.18.azuredns-prd.org NS ns1prod.18.azuredns-prd.info A 40.90.4.201 A 13.107.24.201 A 64.4.48.201 A 13.107.160.201"
"45255","121.840398","132.72.140.46","132.72.81.121","DNS","295","Standard query response 0xf2b4 A www.redmondpie.com A 95.168.178.100 NS ns-1393.awsdns-46.org NS ns-607.awsdns-11.net NS ns-1711.awsdns-21.co.uk NS ns-400.awsdns-50.com A 205.251.193.144 A 205.251.194.95 A 205.251.197.113 A 205.251.198.175"
"45478","123.207775","132.72.81.121","132.72.140.46","DNS","90","Standard query 0x7e7e A watson.telemetry.microsoft.com"
"45479","123.208362","132.72.140.46","132.72.81.121","DNS","271","Standard query response 0x7e7e A watson.telemetry.microsoft.com CNAME umwatson.trafficmanager.net A 52.158.208.111 NS tm1.edgedns-tm.info NS tm2.msft.net NS tm2.edgedns-tm.info NS tm1.msft.net A 13.107.252.10 A 13.107.247.10"
"45846","123.851039","132.72.81.121","132.72.140.46","DNS","77","Standard query 0xd262 A www.irvingisd.net"
"45854","123.943695","132.72.81.121","132.72.140.45","DNS","77","Standard query 0xd262 A www.irvingisd.net"
"45856","123.963064","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x1eb6 A sjgather.com"
"45859","124.038201","132.72.140.46","132.72.81.121","DNS","304","Standard query response 0x1eb6 A sjgather.com A 3.113.191.194 A 52.199.109.110 NS ns-932.awsdns-52.net NS ns-1913.awsdns-47.co.uk NS ns-99.awsdns-12.com NS ns-1435.awsdns-51.org A 205.251.192.99 A 205.251.195.164 A 205.251.197.155 A 205.251.199.121"
"45871","124.153816","132.72.140.46","132.72.81.121","DNS","347","Standard query response 0xd262 A www.irvingisd.net CNAME tx01917973.schoolwires.net A 52.6.98.137 A 54.88.227.150 NS ns-541.awsdns-03.net NS ns-1512.awsdns-61.org NS ns-499.awsdns-62.com NS ns-1967.awsdns-53.co.uk A 205.251.193.243 A 205.251.194.29 A 205.251.197.232 A 205.251.199.175"
"45883","124.252111","132.72.140.45","132.72.81.121","DNS","347","Standard query response 0xd262 A www.irvingisd.net CNAME tx01917973.schoolwires.net A 52.6.98.137 A 54.88.227.150 NS ns-1967.awsdns-53.co.uk NS ns-499.awsdns-62.com NS ns-541.awsdns-03.net NS ns-1512.awsdns-61.org A 205.251.193.243 A 205.251.194.29 A 205.251.197.232 A 205.251.199.175"
"46058","124.913791","132.72.81.121","132.72.140.46","DNS","84","Standard query 0x0a14 A charlotte.craigslist.org"
"46067","125.006814","132.72.81.121","132.72.140.45","DNS","84","Standard query 0x0a14 A charlotte.craigslist.org"
"46070","125.065847","132.72.140.46","132.72.81.121","DNS","195","Standard query response 0x0a14 A charlotte.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.18 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46079","125.129519","132.72.81.121","132.72.140.46","DNS","79","Standard query 0xb712 A accounts.google.com"
"46080","125.130037","132.72.140.46","132.72.81.121","DNS","231","Standard query response 0xb712 A accounts.google.com A 172.217.168.205 NS ns4.google.com NS ns3.google.com NS ns2.google.com NS ns1.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"46105","125.220089","132.72.140.45","132.72.81.121","DNS","195","Standard query response 0x0a14 A charlotte.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.2 NS gslb4.craigslist.org NS gslb3.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46204","125.692525","132.72.81.121","132.72.140.46","DNS","86","Standard query 0xc952 A myrtlebeach.craigslist.org"
"46219","125.786222","132.72.81.121","132.72.140.45","DNS","86","Standard query 0xc952 A myrtlebeach.craigslist.org"
"46226","125.844199","132.72.140.46","132.72.81.121","DNS","197","Standard query response 0xc952 A myrtlebeach.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.18 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46229","125.936763","132.72.140.45","132.72.81.121","DNS","197","Standard query response 0xc952 A myrtlebeach.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.2 NS gslb4.craigslist.org NS gslb3.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46326","126.473647","132.72.81.121","132.72.140.46","DNS","85","Standard query 0x2514 A cookeville.craigslist.org"
"46335","126.567124","132.72.81.121","132.72.140.45","DNS","85","Standard query 0x2514 A cookeville.craigslist.org"
"46345","126.624194","132.72.140.46","132.72.81.121","DNS","196","Standard query response 0x2514 A cookeville.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.18 NS gslb3.craigslist.org NS gslb4.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46356","126.717683","132.72.140.45","132.72.81.121","DNS","196","Standard query response 0x2514 A cookeville.craigslist.org CNAME cities.g.craigslist.org A 208.82.237.2 NS gslb4.craigslist.org NS gslb3.craigslist.org A 208.82.238.210 A 208.82.237.210"
"46427","127.188343","132.72.81.121","132.72.140.46","DNS","85","Standard query 0x6343 A nexus.officeapps.live.com"
