"No.","Time","Source","Destination","Protocol","Length","Info"
"23765","61.166437","132.72.81.121","132.72.140.46","DNS","72","Standard query 0xec79 A www.w8ji.com"
"23783","61.261462","132.72.81.121","132.72.140.45","DNS","72","Standard query 0xec79 A www.w8ji.com"
"23801","61.601541","132.72.140.46","132.72.81.121","DNS","144","Standard query response 0xec79 A www.w8ji.com CNAME w8ji.com A 72.52.250.187 NS ns11.qth.com NS ns12.qth.com"
"23805","61.699144","132.72.140.45","132.72.81.121","DNS","176","Standard query response 0xec79 A www.w8ji.com CNAME w8ji.com A 72.52.250.187 NS ns12.qth.com NS ns11.qth.com A 72.52.250.187 A 67.225.195.119"
"23821","61.845737","132.72.81.121","132.72.140.46","DNS","79","Standard query 0xae70 A www.thepaleomom.com"
"23828","61.907102","132.72.140.46","132.72.81.121","DNS","195","Standard query response 0xae70 A www.thepaleomom.com A 104.25.222.108 A 104.25.221.108 NS bill.ns.cloudflare.com NS jule.ns.cloudflare.com A 173.245.59.74 A 173.245.58.175"
"25578","62.351437","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x7e22 A www11.qth.com"
"25583","62.439434","132.72.81.121","132.72.140.45","DNS","73","Standard query 0x7e22 A www11.qth.com"
"25585","62.604566","132.72.140.46","132.72.81.121","DNS","127","Standard query response 0x7e22 A www11.qth.com A 72.52.250.187 NS ns12.qth.com NS ns11.qth.com"
"25592","62.687827","132.72.140.45","132.72.81.121","DNS","159","Standard query response 0x7e22 A www11.qth.com A 72.52.250.187 NS ns11.qth.com NS ns12.qth.com A 72.52.250.187 A 67.225.195.119"
"25763","63.405501","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x3027 A sjgather.com"
"25772","63.481459","132.72.140.46","132.72.81.121","DNS","304","Standard query response 0x3027 A sjgather.com A 3.113.191.194 A 52.199.109.110 NS ns-1435.awsdns-51.org NS ns-1913.awsdns-47.co.uk NS ns-99.awsdns-12.com NS ns-932.awsdns-52.net A 205.251.192.99 A 205.251.195.164 A 205.251.197.155 A 205.251.199.121"
"25781","63.567959","132.72.81.121","132.72.140.46","DNS","82","Standard query 0xa050 A www.dallasavionics.com"
"25787","63.661212","132.72.81.121","132.72.140.45","DNS","82","Standard query 0xa050 A www.dallasavionics.com"
"25801","63.800495","132.72.140.46","132.72.81.121","DNS","211","Standard query response 0xa050 A www.dallasavionics.com A 63.97.13.54 NS dns05.gpn.register.com NS dns04.gpn.register.com NS dns03.gpn.register.com NS dns01.gpn.register.com NS dns02.gpn.register.com"
"25832","63.898116","132.72.140.45","132.72.81.121","DNS","431","Standard query response 0xa050 A www.dallasavionics.com A 63.97.13.54 NS dns03.gpn.register.com NS dns04.gpn.register.com NS dns02.gpn.register.com NS dns05.gpn.register.com NS dns01.gpn.register.com A 98.124.243.11 AAAA 2620:10f:5000:5002:98:124:243:11 A 64.98.151.11 AAAA 2604:4000:4000:0:64:98:151:11 A 98.124.243.12 AAAA 2620:10f:5000:5002:98:124:243:12 A 64.98.151.12 AAAA 2604:4000:4000:0:64:98:151:12 A 98.124.243.13 AAAA 2620:10f:5000:5002:98:124:243:13"
"26361","64.958473","132.72.81.121","132.72.140.46","DNS","82","Standard query 0x9f0f A www.breeze-eastern.com"
"26367","65.052603","132.72.81.121","132.72.140.45","DNS","82","Standard query 0x9f0f A www.breeze-eastern.com"
"26423","65.482770","132.72.140.46","132.72.81.121","DNS","148","Standard query response 0x9f0f A www.breeze-eastern.com CNAME breeze-eastern.com A 162.144.86.69 NS ns1.breeze-eastern.com NS ns2.breeze-eastern.com"
"26454","65.576836","132.72.140.45","132.72.81.121","DNS","180","Standard query response 0x9f0f A www.breeze-eastern.com CNAME breeze-eastern.com A 162.144.86.69 NS ns2.breeze-eastern.com NS ns1.breeze-eastern.com A 162.144.65.26 A 162.144.65.26"
"28493","70.788475","132.72.81.121","132.72.140.46","DNS","76","Standard query 0xf3e3 A www.axxess.co.za"
"28503","70.882892","132.72.81.121","132.72.140.45","DNS","76","Standard query 0xf3e3 A www.axxess.co.za"
"28507","70.925932","132.72.140.46","132.72.81.121","DNS","194","Standard query response 0xf3e3 A www.axxess.co.za A 104.22.1.112 A 104.22.0.112 NS aron.ns.cloudflare.com NS vin.ns.cloudflare.com A 173.245.59.245 A 173.245.58.69"
"28552","71.237885","132.72.140.45","132.72.81.121","DNS","250","Standard query response 0xf3e3 A www.axxess.co.za A 104.22.0.112 A 104.22.1.112 NS aron.ns.cloudflare.com NS vin.ns.cloudflare.com A 173.245.59.245 AAAA 2606:4700:58::adf5:3bf5 A 173.245.58.69 AAAA 2606:4700:50::adf5:3a45"
"28592","71.641534","132.72.81.121","132.72.140.46","DNS","75","Standard query 0x9e54 A scambusters.org"
"28609","71.717109","132.72.140.46","132.72.81.121","DNS","246","Standard query response 0x9e54 A scambusters.org A 34.250.60.251 NS eagle.ezoicns.com NS quoll.ezoicns.com NS guppy.ezoicns.com NS camel.ezoicns.com A 205.251.195.140 A 205.251.198.76 A 205.251.193.108 A 205.251.197.155"
"28682","72.068066","132.72.81.121","132.72.140.46","DNS","80","Standard query 0x5d1b A www.audioadvisor.com"
"28693","72.160424","132.72.81.121","132.72.140.45","DNS","80","Standard query 0x5d1b A www.audioadvisor.com"
"28697","72.203840","132.72.140.46","132.72.81.121","DNS","278","Standard query response 0x5d1b A www.audioadvisor.com A 54.187.251.110 NS ns1.dnsmadeeasy.com NS ns2.dnsmadeeasy.com NS ns3.dnsmadeeasy.com NS ns4.dnsmadeeasy.com NS ns0.dnsmadeeasy.com A 208.94.148.2 A 208.80.124.2 A 208.80.126.2 A 208.80.125.2 A 208.80.127.2"
"28713","72.304152","132.72.140.45","132.72.81.121","DNS","418","Standard query response 0x5d1b A www.audioadvisor.com A 54.187.251.110 NS ns0.dnsmadeeasy.com NS ns4.dnsmadeeasy.com NS ns3.dnsmadeeasy.com NS ns1.dnsmadeeasy.com NS ns2.dnsmadeeasy.com A 208.94.148.2 AAAA 2600:1800::1 A 208.80.124.2 AAAA 2600:1801:1::1 A 208.80.126.2 AAAA 2600:1802:2::1 A 208.80.125.2 AAAA 2600:1801:3::1 A 208.80.127.2 AAAA 2600:1802:4::1"
"28969","73.913665","132.72.81.121","132.72.140.46","DNS","82","Standard query 0xc575 A www.antennasdirect.com"
"28973","74.009841","132.72.81.121","132.72.140.45","DNS","82","Standard query 0xc575 A www.antennasdirect.com"
"30464","74.125917","132.72.140.46","132.72.81.121","DNS","180","Standard query response 0xc575 A www.antennasdirect.com CNAME antennasdirect.com A 209.134.58.112 NS ns33.domaincontrol.com NS ns34.domaincontrol.com A 173.201.74.17"
"30498","74.236473","132.72.140.45","132.72.81.121","DNS","252","Standard query response 0xc575 A www.antennasdirect.com CNAME antennasdirect.com A 209.134.58.112 NS ns34.domaincontrol.com NS ns33.domaincontrol.com A 97.74.106.17 AAAA 2603:5:21a1::11 A 173.201.74.17 AAAA 2603:5:22a1::11"
"30721","75.759443","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x1bab A krispyaudio.com.au"
"30732","75.852952","132.72.81.121","132.72.140.45","DNS","78","Standard query 0x1bab A krispyaudio.com.au"
"30733","75.899013","132.72.140.46","132.72.81.121","DNS","144","Standard query response 0x1bab A krispyaudio.com.au A 35.241.39.58 NS ns2.dnspackage.com NS ns1.dnspackage.com"
"30752","75.990316","132.72.140.45","132.72.81.121","DNS","232","Standard query response 0x1bab A krispyaudio.com.au A 35.241.39.58 NS ns1.dnspackage.com NS ns2.dnspackage.com A 204.74.66.117 AAAA 2001:502:f3ff::275 A 204.74.110.117 AAAA 2610:a1:1014::275"
"30801","76.303539","132.72.81.121","132.72.140.46","DNS","78","Standard query 0x9b8b A www.traveline.info"
"30810","76.378145","132.72.140.46","132.72.81.121","DNS","427","Standard query response 0x9b8b A www.traveline.info CNAME prd-traveline-lb.mxdata.co.uk CNAME tvlprd-ssl-130699139.eu-west-1.elb.amazonaws.com A 52.17.131.83 A 54.171.211.177 A 52.48.190.130 NS ns-1053.awsdns-03.org NS ns-341.awsdns-42.com NS ns-2023.awsdns-60.co.uk NS ns-739.awsdns-28.net A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"30848","76.604631","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xe5ba A www.audioshark.org"
"30858","76.698093","132.72.81.121","132.72.140.45","DNS","78","Standard query 0xe5ba A www.audioshark.org"
"30933","77.374494","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x9532 A advrider.com"
"30935","77.382768","132.72.140.46","132.72.81.121","DNS","220","Standard query response 0xe5ba A www.audioshark.org CNAME audioshark.org A 104.192.220.91 NS ns2.urljet.com NS ns3.urljet.com NS ns1.urljet.com A 104.192.220.105 A 208.67.23.60 A 104.192.220.115"
"30937","77.450151","132.72.140.46","132.72.81.121","DNS","289","Standard query response 0x9532 A advrider.com A 18.205.169.1 NS ns-1663.awsdns-15.co.uk NS ns-755.awsdns-30.net NS ns-466.awsdns-58.com NS ns-1505.awsdns-60.org A 205.251.193.210 A 205.251.194.243 A 205.251.197.225 A 205.251.198.127"
"30939","77.488671","132.72.140.45","132.72.81.121","DNS","158","Standard query response 0xe5ba A www.audioshark.org CNAME audioshark.org A 104.192.220.91 NS ns.cpanellogin.net NS ns2.cpanellogin.net"
"30940","77.495873","132.72.81.121","132.72.140.46","DNS","76","Standard query 0x5bf8 A www.timemaps.com"
