"No.","Time","Source","Destination","Protocol","Length","Info"
"161011","152.547064","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161012","152.547140","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161026","152.547305","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161036","152.547370","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161048","152.547603","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161062","152.547720","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161069","152.547914","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161083","152.548123","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161097","152.548189","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161111","152.548389","132.72.81.121","172.217.17.129","UDP","88","52947  >  443 Len=46"
"161126","152.548459","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161127","152.548527","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161142","152.548732","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161150","152.548800","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161164","152.550329","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161178","152.550471","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161179","152.550607","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161222","152.551127","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161225","152.551249","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161226","152.551326","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161227","152.551450","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
"161239","152.552559","132.72.81.121","172.217.17.129","UDP","75","52947  >  443 Len=33"
